"NBa7we src","d4r55","RfnDt","eaLgGf","hCCjke","rsqaWe","wiI7pd","dSlJg","znYl0","dSlJg 2","znYl0 2","fontBodySmall","fontBodySmall 2","kyuRq","Cw1rxd"
"https://lh3.googleusercontent.com/a-/ALV-UjVBdg8HD06D6uvrqffDLm_T6EnrkX9rb75CFttQVc8LWwdByszo=w72-h72-p-rp-mo-ba6-br100","David Pesudo","Local Guide · 681 reviews · 982 photos","","","a year ago","Nice","","Like","","Share","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWn4xLxeGw5DOvPMhvPqfJXjN-etQGJHf1mHZFAmorDzs2duYU=w72-h72-p-rp-mo-ba3-br100","Stefanus TS","Local Guide · 16 reviews · 13 photos","","","2 years ago","A Great Campus with many Department","","Like","","Share","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocK5x-h2ge7jb5JnFnIdRpIzhN-66N9v7jeeDU1b-BhM-_Hcxw=w72-h72-p-rp-mo-br100","Hartatik Suwarti","1 review","","","4 months ago","The employees at BARA had bad service, I had spoken and asked nicely and they responded badly, they were indifferent, when they arrived they didn't respond well, like asking ""how is there anything that needs help?"".","","Like","","Share","Translated by Google","・","See original (Indonesian)",""
"https://lh3.googleusercontent.com/a/ACg8ocKm30rQ_6iCiPOGytyu04mQZfyh7os67ZvZLqAeUV0fR-iBhA=w72-h72-p-rp-mo-ba2-br100","Susilo Saputro","Local Guide · 12 reviews · 17 photos","","","7 years ago","Good spot bt got an ojol order","","Like","","Share","Translated by Google","・","See original (Indonesian)",""
"https://lh3.googleusercontent.com/a-/ALV-UjVimhhpc6lXnyzwPD63TiMvLSj2qKxAF7EcLTfajmgvOXymAGCnyg=w72-h72-p-rp-mo-ba3-br100","Aprilia Arum Sari","Local Guide · 25 reviews · 61 photos","","","7 years ago","The wifi is fast","","Like","","Share","Translated by Google","・","See original (Indonesian)",""
"https://lh3.googleusercontent.com/a-/ALV-UjWPtiJbXkWNOD331K91wMNejkwrxtQa_LUvz5m_XbZ26XzN7Jo=w72-h72-p-rp-mo-ba4-br100","meriyuliani","Local Guide · 31 reviews · 112 photos","","","a week ago","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVmwC92R8TqtPdhmvAz_ytUH_o9j4ADLfQlWtNFOjSy7c0gJ9q1=w72-h72-p-rp-mo-ba6-br100","ebe wijaya","Local Guide · 20 reviews · 392 photos","","","a year ago","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVKhzRKLFgcPstHkyhm3nyBlf3p54gxVMoCh_9YMimOymH9R5Xq=w72-h72-p-rp-mo-ba2-br100","Kawula Alit","Local Guide · 8 reviews · 12 photos","","","2 years ago","","","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocIqeoBCaQNkD-uFtjBgC_iXGr8qgsIRdT2KvnLwEjTpEGAskg=w72-h72-p-rp-mo-ba4-br100","Daniel Ari Supriyanto","Local Guide · 32 reviews · 100 photos","","","2 years ago","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWk9gomFYOhDr7gYYGaceD0Cipz_jRfXOxuRx9xn4jK4LSSR9lP=w72-h72-p-rp-mo-ba4-br100","Abednego Nugroho","Local Guide · 74 reviews · 58 photos","","","3 years ago","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWBjcGMmco6tSiFDKqJ9AwVDN4Xua1Qyiwf9hLtVISYnKIo8RQ=w72-h72-p-rp-mo-ba2-br100","UHU VLOG","Local Guide · 9 reviews · 3 photos","","","5 years ago","","","","","","","","",""
