"NBa7we src","d4r55","RfnDt","eaLgGf","hCCjke","rsqaWe","wiI7pd","dSlJg","znYl0","dSlJg 2","znYl0 2","fontBodySmall","fontBodySmall 2","kyuRq"
"https://lh3.googleusercontent.com/a-/ALV-UjV-Hkyp6hyrRakX29zWTpeqN7IOtK5Fkx5RdaOMjw355IJg0x5L=w72-h72-p-rp-mo-ba4-br100","Windy Murrell","Local Guide · 50 reviews · 33 photos","","","2 months ago","Good campus, green environment and easy access in a small, clean city. Diversity and multicultural modern education centre in the heart of Salatiga","","Like","","Share","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUxAgILkcH3ZM_aBZpKOJRivgx5tSldUekhOCOpEY9-dNQ4sJTqZg=w72-h72-p-rp-mo-ba6-br100","FAT Bli","Local Guide · 729 reviews · 1,783 photos","","","4 years ago","Looks like a good, green campus located right in the heart of the town. I saw many students from all over the country. Long time ago its electric faculty was one of the best, hopefully its reputation well maitained even improved. My suggestion, this good campus should keep go green and more active in smoke free campaign.","","","","Share","","",""
"https://lh3.googleusercontent.com/a/ACg8ocKGfX5pv7KljOHgJQtjToGLnQXSK4o1Ivbi_UYBk2haIILXNA=w72-h72-p-rp-mo-ba4-br100","andy wicaqsono","Local Guide · 74 reviews · 398 photos","","","a year ago","One of the best private uni on central java particularly on Semarang-Solo-Yogya triangle","","","","Share","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWn_jzicDt-MmVMfScjl63gyUndBADCaIlFQAebcZyM2NdXui8=w72-h72-p-rp-mo-ba6-br100","Doddy Juli Irawan","Local Guide · 503 reviews · 1,883 photos","","","5 years ago","This training center provide various language except English. You could learn Japanese language and enjoy culture class (wearing kimono, Japanese tea ceremony, Japanese writing, etc). All teachers very kind, you could directly ask the program in front desk. LTC UKSW located in library building and easy access to reach the place.","","","","Share","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVQYyfaH-9-_InHQfzVfGjjIDMQ8eGegElVht81FcezUKPUMR0=w72-h72-p-rp-mo-ba5-br100","prathama dvitiya","Local Guide · 177 reviews · 185 photos","","","2 years ago","A beautifull large area campus in tje heart of Salatiga city, with well-maintained vintage/original building, with it's own footbal size field, shady tree and very greenery, good air quality and good environtment for the student.","","Like","","Share","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXWzJiFEeurBibOAgaqZNdwD93Y7eutBqvITG46oqxWq4n1JzsY=w72-h72-p-rp-mo-ba4-br100","Dan carlo Jabola","Local Guide · 75 reviews · 68 photos","","","5 years ago","Im from philippines and went here one time to visit my friend (vini chan) on her school ... its actually nice and big university with hospitable teachers and students all around. There a large option of faculties and facilities and they …","","","","Share","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUFJeZCecsvOiYhdcWK2j6k2nuQtbjsLPQoNfph_52vuEGQ4Iv8=w72-h72-p-rp-mo-ba7-br100","IGNASPUT JOURNEY","Local Guide · 1,997 reviews · 7,464 photos","","","a year ago","One of the best university in central java","","Like","","Share","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVdNrdLHIrV8YP5QeFjtFXkA9jjr-0TJv3zvj1gFHQPBG8745Qz=w72-h72-p-rp-mo-ba5-br100","Realino Deva","Local Guide · 158 reviews · 513 photos","","","2 years ago","“You’ve got to get up every morning with determination if you’re going to go to bed with satisfaction.”","","","","Share","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVnP9Gq465UbqTPfJTWkwlH9KPE_ZnjStckrWZBCWo_JL7y_QrZ1w=w72-h72-p-rp-mo-ba3-br100","Christiawan Nugroho","Local Guide · 34 reviews · 2 photos","","","a year ago","My undergraduate bachelor degree, my awesome almamater. Indeed fostering me into one of the Creative Minorities. Graduated from the formerly known as Fakultas Bahasa Sastra or Faculty of Language and Literature. Now merged with Faculty of …","","Like","","Share","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjX5lB5vXGVZVCJXLSqx3Nfi18Xja5IuYwi6W8oNEiBSDH0nFMlY=w72-h72-p-rp-mo-ba7-br100","ASA Andita","Local Guide · 325 reviews · 3,071 photos","","","6 years ago","One of the private campuses in Salatiga, the place is shady.","","","","Share","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVnu2_F-n44G8jvZLX5bBsQhR32BGNTQR6hIKmRLShCvWqYeBWc=w72-h72-p-rp-mo-ba3-br100","Stefanus Roy","Local Guide · 54 reviews · 58 photos","","","7 years ago","Biggest campus in salatiga. Well known as mini indonesian culture campus","","","","Share","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXtCH6DLy-g1sDSlgSiQeK3Iw8FzMhtsxZxaTsexUYEvijW94NfBQ=w72-h72-p-rp-mo-ba4-br100","Putri Rizky L","Local Guide · 36 reviews · 59 photos","","","6 years ago","Really good place to study. Many faculties that we can choose for bachelor, master, and doctoral degree. Many facilities that can be used for support our activities. UKSW has 3 campuses which located in Diponegoro for the main building, then Kartini and Blotongan.","","Like","","Share","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjW1W2um-BZOsUjUHP0_hzNvlGK1tc7BCI3UQPj8O5ySrZEysRuN=w72-h72-p-rp-mo-ba4-br100","Andika Dwi","Local Guide · 44 reviews · 375 photos","","","3 years ago","Best place to express your show.  Such a big hall","","","","Share","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUn-h31b0xGUnmr_RjS1WK0IGdw8LG6BWADd1AserZ6YKT2W4Md=w72-h72-p-rp-mo-ba5-br100","andreas utomo","Local Guide · 107 reviews · 325 photos","","","3 years ago","Green Campus,  best Privat  University in central java,","","","","Share","","",""
"https://lh3.googleusercontent.com/a/ACg8ocLgyj63uiPE6vjjzyAEfu1uKmSFiTo5wC3GKIrt7L84GEhJZg=w72-h72-p-rp-mo-ba4-br100","Orin Setyadi","Local Guide · 177 reviews · 39 photos","","","8 years ago","It's a good university. Easy access and average facilities. The building should be renovated. Overall, great !","","","","Share","","",""
