"NBa7we src","d4r55","RfnDt","eaLgGf","hCCjke","rsqaWe","wiI7pd","dSlJg","znYl0","dSlJg 2","znYl0 2","fontBodySmall","fontBodySmall 2","kyuRq"
"https://lh3.googleusercontent.com/a-/ALV-UjXA_nbf_DcsUyRztFkDy1GfppUMS9ZLPLBQpl8u_wb-SafZg_s=w72-h72-p-rp-mo-ba4-br100","solte siniciz","Local Guide · 113 reviews · 29 photos","","","4 months ago","Lap basket Lab school","","Like","","Share","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWVbqxPGSueektLDBzcbXfaOhaG-68ayuGTNbo3GvAwK1Z2XhBv=w72-h72-p-rp-mo-ba5-br100","Aditya Krisnha Permana","Local Guide · 149 reviews · 53 photos","","","7 months ago","💕💕 …","","Share","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXVb9bXXg1XDEs2k1OQxzjvr0z3EeN4t4sx27PmouWad_rn8ww=w72-h72-p-rp-mo-ba4-br100","Yhonas Pranantyo","Local Guide · 128 reviews · 125 photos","","","6 years ago","nice gor","","Like","","Share","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWUhvC30ubcj6kOWq8WILlU0Oi28cF0aR0nZFokqbKmp4p3Pr7X=w72-h72-p-rp-mo-ba4-br100","Muhammad Ali Wafa","Local Guide · 198 reviews · 69 photos","","","5 years ago","Yeah","","Like","","Share","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUNEUJUdXEbYwBcgX96mpkRFJZaF8dOu3o1Kahx6TkKGKc8v4L5KA=w72-h72-p-rp-mo-ba5-br100","Meinur Seloadmodjo","Local Guide · 153 reviews · 432 photos","","","6 years ago","Nice place","","Like","","Share","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVzcBxZDVaLyU8c8MbneSGhRimOK9-EushxwbxusSjwf5dmNBc=w72-h72-p-rp-mo-br100","Jessica","6 reviews","","","a month ago","The sports hall is not suitable. The floor is slippery, many tools are damaged. The inside is also hot, hopefully it can be fixed soon.","","","","Share","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a/ACg8ocLtTOg6LP-xhPRIj39Pu_Y_-NLNQSSF2edhYa3tjXmN4DM53Q=w72-h72-p-rp-mo-br100","Candra","9 reviews","","","a month ago","the building is quite good but the room temperature is very hot and some of the infrastructure is no longer adequate.","","","","Share","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjX5d1MsB2e0VR7vyZ6NuHICtbO05vKzpRXXmfyI6RsnEpYe8_xS=w72-h72-p-rp-mo-ba4-br100","Rizqi Khoirunnisa","Local Guide · 47 reviews · 178 photos","","","2 years ago","One of the high schools in Salatiga.
The school environment is clean, the students are kind and polite.
They have solid extra-curriculars and lessons. …","","Share","","","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjXj74LJj1a8YW-slT6T22rRaEYiCRb0YqvoxMJxH1r0gSjkBBQ=w72-h72-p-rp-mo-ba2-br100","Wijayanto","Local Guide · 21 reviews","","","a month ago","the quality of the building is so-so, too exaggerated.","","","","Share","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjUci94ZnJlvIrIHxQOOAPIblCIU8RQxaLg5W6MBxK475C4rwsYI=w72-h72-p-rp-mo-ba4-br100","Albertdigda Buana","Local Guide · 6 reviews · 310 photos","","","11 months ago","A sports hall with minimal awareness of the surrounding environment. Often noisy at night and not used as intended","","","","Share","Translated by Google","・","See original (Indonesian)"
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWuasIA__NuU1KYRBLpHA0KhH0tprSSw0b3746oWSD9LTBo_T3A=w72-h72-p-rp-mo-ba4-br100","Tiara Arynti Putri","Local Guide · 124 reviews · 262 photos","","","3 years ago","facilities that not all schools have🤩😋 …","","Share","","","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a/ACg8ocKfxTHYli2QtbYs8Gk1cSd00j2vUIPfuMJuhd9bArGwxiKbwQ=w72-h72-p-rp-mo-ba4-br100","Bambang Cahyono","Local Guide · 55 reviews · 26 photos","","","4 months ago","Nice place, comfortable, spacious....","","Like","","Share","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjX4d5OHsXIo3cPxl_P5Px3GjpFlp8AlD_itgo29CJmIEHOTY5Jh=w72-h72-p-rp-mo-br100","Adrian","6 reviews · 2 photos","","","6 years ago","Clean, neat... Spacious too. So it's comfortable...","","Share","","Like","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjWGY0VAxuRZySNhzpnPRdJV37aCV3diaeIVO7SUJBMVZAPTrxwNmw=w72-h72-p-rp-mo-ba5-br100","Eirine Megawati Saap","Local Guide · 156 reviews · 616 photos","","","7 years ago","Quite spacious for events... Unfortunately the sound system is not adequate.","","Like","","Share","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjXEzWaQ_kHtTPV_WJSek28Hnhc-abdJ5abf2zcIfcPmazSBcFtm=w72-h72-p-rp-mo-ba3-br100","Yunita Kartika","Local Guide · 35 reviews · 28 photos","","","5 years ago","The GOR is quite spacious, it can be set up as 3 badminton courts","","Like","","Share","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjUoEppPdMW4STd1CkGaC69FVBD6QVyb6KtcXro6jNllKBejjTg=w72-h72-p-rp-mo-br100","Melanchton Ngandji","5 reviews","","","5 years ago","comfortable place to exercise, very clean, and nice to use😍😁 …","","Like","","Share","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a/ACg8ocJ2uTial6Di4PZlpkIaPuzN1irxmxK_Whdn9-aMxHSSBZr0eAo=w72-h72-p-rp-mo-ba3-br100","Lydia C Dj.","Local Guide · 33 reviews · 12 photos","","","5 years ago","The GOR is quite good. The GOR floor is made of pieces of wood that are starting to age here and there.","","Like","","Share","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjUFJZQM16zmNULG83DIbbWvorasixFKx2o0FUEL4q_TMuSIvFWo=w72-h72-p-rp-mo-ba4-br100","Dian Perdana Riatri","Local Guide · 91 reviews · 48 photos","","","5 years ago","Spacious, spacious, private place... Fun for sports","","Like","","Share","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjXbYIEtEnDS9UIBUBD8BU2XJG6FkgOtu_clhO_9IeKFLn-MAI4=w72-h72-p-rp-mo-ba5-br100","Cendana Craft","Local Guide · 362 reviews · 115 photos","","","7 years ago","Not bad for sports, basketball and badminton","","","","Share","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjVmvUaO3Tyw9cmuFWO0F69GP24cOKivNy5NFAo1g1jDEct7fO7X=w72-h72-p-rp-mo-ba3-br100","Alan Modokh","Local Guide · 38 reviews · 3 photos","","","6 years ago","A suitable place for almost all indoor sports.","","Like","","Share","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjV3F5q7NH36mjYpvBCGwO8M9VALXJAvo0-4BpZ3w41i5CWSs4_P=w72-h72-p-rp-mo-ba5-br100","Alexander Kurniawan","Local Guide · 283 reviews · 82 photos","","","6 years ago","When I was in school, there weren't any here, bro... it's great now","","Like","","Share","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjVk_SMDf0L2y9Vz1KPPhl_n18jCJEUWvsCq_S3i5FYK40y4QJ7l=w72-h72-p-rp-mo-br100","slimper chanel","3 reviews","","","5 years ago","basically it's cool","","Like","","Share","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjXpPUropRBxa2334owL6Pe7_2C1hRTbhgCuSqy8YnYsdYvKRLS9=w72-h72-p-rp-mo-ba4-br100","Richie Makaro Film","Local Guide · 154 reviews · 37 photos","","","5 years ago","Sports activity center for both campus and lab","","Like","","Share","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjUdfGgE3BpSe3fAM0vixNC63qoLojD917kXTr1VJdQ8DCARBng=w72-h72-p-rp-mo-ba2-br100","setia saluko","Local Guide · 16 reviews · 1 photo","","","2 years ago","Great... safe...","","Like","","Share","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjUf1kPT32IYcbBo_ZKDzfWk1gYctxi8JL_8GptS6g10fGDkIjkQGg=w72-h72-p-rp-mo-br100","Brilliant K","10 reviews · 4 photos","","","5 years ago","My beloved high school","","Like","","Share","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a/ACg8ocJtLIsHjTPWOcZH_P9U5nw2GKg57PvSDavAHsfLZ5vKIVcdrQ=w72-h72-p-rp-mo-ba3-br100","alfalah alfalah","Local Guide · 34 reviews · 2 photos","","","3 years ago","Neat and spacious place","","Like","","Share","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjWqTF6cHyyV99zeNXmhCzDMayLQSJc1Fqawq1dersqs1gsHPlW6=w72-h72-p-rp-mo-ba5-br100","Wahyu Pamungkaz","Local Guide · 297 reviews · 218 photos","","","4 years ago","Quiet during the pandemic","","Like","","Share","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a/ACg8ocI0rmOc4eA7Y0mKojjaMEeS3akj4ACHB3G8AkyYJ6aj7w7alg=w72-h72-p-rp-mo-ba2-br100","Riski Fitriani","Local Guide · 24 reviews · 7 photos","","","7 years ago","Good, a bit hot","","Like","","Share","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjXEEz36aUBSNm8u4cnA9l3KZuiCEmvxI_qEhrxDFCmXugTiXHI7yQ=w72-h72-p-rp-mo-ba4-br100","SJ Nursito","Local Guide · 68 reviews · 489 photos","","","6 months ago","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUqRXs6bUTxJjvwGS5zOitaqJraSXnWED3V2dgJnOrqfXe65a2h=w72-h72-p-rp-mo-ba3-br100","Gregorius Josevan H","Local Guide · 68 reviews · 3 photos","","","5 years ago","small gor, dirty","","Like","","Share","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a/ACg8ocK9mXhe0LX3w1UEfh--im7pUIqOxOrwsG-OuJ69_ej1moftjg=w72-h72-p-rp-mo-br100","Adna Febri Aryanti","2 reviews","","","3 years ago","👍👍 …","","Like","","Share","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXosEKFs5R4IjvMYSe7tgqg5zUUJMbaKzS6z1jl0elC7rHKlLDvfw=w72-h72-p-rp-mo-ba2-br100","Joshua Nathanael","Local Guide · 24 reviews · 4 photos","","","5 years ago","Very hot","","","","Share","Translated by Google","・","See original (Malay)"
"https://lh3.googleusercontent.com/a-/ALV-UjU1Kl8mAeNGNJzw_ddvTD3X5pAgRQnFixZmp8j9EqFvBgn0yDEy=w72-h72-p-rp-mo-br100","Jedidiah Yaasiel Saiba","3 reviews","","","5 years ago","The best 😇 …","","Like","","Share","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjVhkfe8weqYdxy8IOC_W-CKLPmc70FpzZK9tsfoDqVS6IklaXk=w72-h72-p-rp-mo-br100","Joandri jo","1 review","","","5 years ago","Nice, cool","","Like","","Share","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjUf0C6hCS3-08ScNbEVRmyP3qtdvPNmOyjmUmpMJLBsvphpA8x5=w72-h72-p-rp-mo-ba6-br100","Kukuh Pambuka Putra","Local Guide · 368 reviews · 1,301 photos","","","7 years ago","Go to SWCU Middle & High School Lab facilities","","Like","","Share","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjWVpp1ARoh4-xsuzMweWlpUq78JqiFLsHTwfZYS2gHiHHjCttBL=w72-h72-p-rp-mo-ba4-br100","Yuli Darmayanti","Local Guide · 252 reviews · 63 photos","","","2 years ago","Good","","Like","","Share","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjVtJaddLi86BbhfcQIxfVottWLgHdRWOl1QcqbO50vUuqLpvM84wQ=w72-h72-p-rp-mo-br100","Tabita Ma Windri","2 reviews","","","7 years ago","Exciting","","Like","","Share","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjXgSVydsebJ2_1FmrTphy7BEFq9JC-vHO4p9Sek00ECvomT3VswDg=w72-h72-p-rp-mo-ba5-br100","Guntur Pinus","Local Guide · 81 reviews · 797 photos","","","7 years ago","Comfortable","","Like","","Share","Translated by Google","・","See original (Javanese)"
"https://lh3.googleusercontent.com/a-/ALV-UjVfmx_vKZ7ZUWen3m_WRML12hx5x1ynBjZeLp7cx2KXOBmdqOIA=w72-h72-p-rp-mo-ba3-br100","Adela Istanto","Local Guide · 56 reviews · 17 photos","","","5 years ago","Wide","","Like","","Share","Translated by Google","・","See original (Indonesian)"
"https://lh3.googleusercontent.com/a-/ALV-UjV9KL9qHKl6XjgHvVpamvjoum2cV39eJ_zyXf-QcaUWOUJRYQGB=w72-h72-p-rp-mo-ba4-br100","Silvana Santoso","Local Guide · 51 reviews · 116 photos","","","6 years ago","Wide","","Like","","Share","Translated by Google","・","See original (Indonesian)"
